"IDNgrid","IDgrid","n"
"33","(43.752,43.759].(-79.6,-79.59]",98
"330","(43.686,43.693].(-79.45,-79.43]",43
"331","(43.693,43.699].(-79.45,-79.43]",51
"332","(43.699,43.706].(-79.45,-79.43]",53
"333","(43.706,43.712].(-79.45,-79.43]",27
"334","(43.712,43.719].(-79.45,-79.43]",21
"335","(43.719,43.726].(-79.45,-79.43]",48
"336","(43.726,43.732].(-79.45,-79.43]",25
"337","(43.732,43.739].(-79.45,-79.43]",34
"338","(43.739,43.745].(-79.45,-79.43]",44
"339","(43.745,43.752].(-79.45,-79.43]",27
"34","(43.759,43.765].(-79.6,-79.59]",14
"340","(43.752,43.759].(-79.45,-79.43]",34
"341","(43.759,43.765].(-79.45,-79.43]",11
"342","(43.765,43.772].(-79.45,-79.43]",16
"343","(43.772,43.778].(-79.45,-79.43]",25
"344","(43.778,43.785].(-79.45,-79.43]",19
"345","(43.785,43.792].(-79.45,-79.43]",19
"346","(43.792,43.798].(-79.45,-79.43]",21
"347","(43.627,43.633].(-79.43,-79.42]",4
"348","(43.633,43.64].(-79.43,-79.42]",42
"349","(43.64,43.647].(-79.43,-79.42]",48
"35","(43.627,43.633].(-79.59,-79.57]",19
"350","(43.647,43.653].(-79.43,-79.42]",39
"351","(43.653,43.66].(-79.43,-79.42]",35
"352","(43.66,43.666].(-79.43,-79.42]",39
"353","(43.666,43.673].(-79.43,-79.42]",28
"354","(43.673,43.68].(-79.43,-79.42]",28
"355","(43.68,43.686].(-79.43,-79.42]",44
"356","(43.686,43.693].(-79.43,-79.42]",33
"357","(43.693,43.699].(-79.43,-79.42]",35
"358","(43.699,43.706].(-79.43,-79.42]",47
"359","(43.706,43.712].(-79.43,-79.42]",47
"36","(43.633,43.64].(-79.59,-79.57]",13
"360","(43.712,43.719].(-79.43,-79.42]",53
"361","(43.719,43.726].(-79.43,-79.42]",34
"362","(43.726,43.732].(-79.43,-79.42]",48
"363","(43.732,43.739].(-79.43,-79.42]",40
"364","(43.739,43.745].(-79.43,-79.42]",49
"365","(43.745,43.752].(-79.43,-79.42]",8
"366","(43.752,43.759].(-79.43,-79.42]",14
"367","(43.759,43.765].(-79.43,-79.42]",2
"368","(43.765,43.772].(-79.43,-79.42]",11
