"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",18,"D33",45,"Parkwoods-Donalda (45)",43.7619171,-79.3285675,2016-01-06 18:00:00,NA,NA,NA,101.2,NA,52,NA,1.4,-7.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,34805,5840,4680,14780,4265,5250,775
"House","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",20,"D33",48,"Hillcrest Village (48)",43.8029747,-79.3679504,2016-01-06 20:00:00,NA,NA,NA,101.24,NA,73,NA,1,-3.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.041,16934,2115,2170,6060,2265,4305,630
"House","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",20,"D12",113,"Weston (113)",43.6983452,-79.5113144,2016-01-06 20:10:00,NA,NA,NA,101.24,NA,73,NA,1,-3.4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.01,17992,3100,2225,7785,2430,2445,395
"House","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",21,"D43",137,"Woburn (137)",43.7634544,-79.2375336,2016-01-06 21:30:00,NA,NA,NA,101.23,NA,73,NA,0.5,-3.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.003,53485,9625,7660,21945,6245,8010,1130
"Outside","Theft Of Motor Vehicle",2016,1,6,6,"Wednesday",21,"D23",1,"West Humber-Clairville (1)",43.7106895,-79.6113205,2016-01-06 21:45:00,NA,NA,NA,101.23,NA,73,NA,0.5,-3.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.023,33312,5060,5445,13845,3990,4980,615
"House","Theft Of Motor Vehicle",2016,1,7,7,"Thursday",5,"D23",3,"Thistletown-Beaumond Heights (3)",43.7409782,-79.5810013,2016-01-07 05:30:00,NA,NA,NA,101.09,NA,73,NA,-1.8,-6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.022,10360,1730,1410,4160,1195,1880,350
"Outside","Theft Of Motor Vehicle",2016,1,7,7,"Thursday",13,"D32",27,"York University Heights (27)",43.7742805,-79.473381,2016-01-07 13:00:00,NA,NA,NA,100.96,NA,58,NA,3.6,-4,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27593,4045,4750,12290,2965,3530,400
"House","Theft Of Motor Vehicle",2016,1,7,7,"Thursday",14,"D32",33,"Clanton Park (33)",43.7428589,-79.4423065,2016-01-07 14:00:00,NA,NA,NA,100.9,NA,61,NA,3.3,-3.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.127,16472,2765,1910,7470,1935,2375,400
"Outside","Theft Of Motor Vehicle",2016,1,7,7,"Thursday",18,"D31",27,"York University Heights (27)",43.7648163,-79.5013275,2016-01-07 18:00:00,NA,NA,NA,100.84,NA,77,NA,2,-1.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27593,4045,4750,12290,2965,3530,400
"House","Theft Of Motor Vehicle",2016,1,7,7,"Thursday",20,"D22",10,"Princess-Rosethorn (10)",43.675251,-79.5388947,2016-01-07 20:00:00,NA,NA,NA,100.91,NA,76,NA,2.5,-1.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.013,11051,1770,1580,3825,1855,2025,325
